English,Italian,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
shell,conchiglia,0,1,1,0,0,1,0,1,1,0
concierge,concierge,0,0,0,0,0,0,0,0,0,0
conciliation,conciliazione,1,0,0,0,0,0,1,0,0,1
compost,concime,0,1,0,0,1,0,0,0,0,0
brevity,concisione,0,0,0,0,0,0,0,0,0,0
concise,conciso,0,0,0,0,0,0,0,0,0,0
pithy,conciso,0,0,0,0,0,0,0,0,0,0
conclave,conclave,0,0,0,0,0,0,0,0,0,0
conclude,concludere,0,0,0,0,0,0,0,0,0,0
ended,conclusa,0,0,0,0,0,0,0,0,0,0
conclusion,conclusione,0,0,0,0,0,0,0,0,0,0
concluding,conclusiva,1,0,0,0,0,0,0,0,0,0
concomitant,concomitante,0,0,0,0,0,0,0,0,0,0
agreeing,concordando,1,0,0,0,0,0,0,0,0,1
concordance,concordanza,1,0,0,0,0,0,0,0,0,1
agree,concordare,1,0,0,0,0,0,0,0,0,0
agreed,concordato,1,0,0,0,0,0,0,0,0,1
concord,concordia,1,0,0,0,0,0,0,0,0,1
competitor,concorrente,0,0,0,0,0,0,0,0,0,0
concurrent,concorrente,0,0,0,0,0,0,0,0,0,0
competition,concorrenza,0,1,0,1,0,0,0,0,0,0
concourse,concorso,0,0,0,0,0,0,0,0,0,0
concours,concours,0,0,0,0,0,0,0,0,0,0
concrete,concreto,0,0,0,0,0,0,0,0,0,0
condemnation,condanna,0,1,1,1,1,1,0,1,0,0
condemn,condannare,0,1,1,0,0,0,0,0,0,0
doomed,condannato,0,1,0,0,0,1,0,1,0,0
condensed,condensato,0,0,0,0,0,0,0,0,0,0
condensation,condensazione,0,0,0,0,0,0,0,0,0,0
condiment,condimento,0,0,0,0,0,0,0,0,0,0
condescending,condiscendente,0,1,0,0,0,0,0,0,0,0
condescension,condiscendenza,0,1,1,0,1,0,0,1,0,0
conditional,condizionale,0,0,0,0,0,0,0,0,0,0
conditionally,condizionatamente,0,0,0,0,0,0,0,0,0,0
conditioned,condizionato,0,0,0,0,0,0,0,0,0,0
proviso,condizione,0,0,0,0,0,0,0,0,0,1
conditions,Condizioni,0,0,0,0,0,0,0,0,0,0
terms,condizioni,0,0,0,0,0,0,0,0,0,0
condolence,condoglianza,1,0,0,0,0,0,0,1,0,0
condone,condonare,1,0,0,0,0,0,0,0,0,0
conduct,condotta,0,0,0,0,0,0,0,0,0,0
conduit,condotto,0,0,0,0,0,0,0,0,0,0
duct,condotto,0,0,0,0,0,0,0,0,0,0
leads,conduce,0,0,0,0,0,0,0,0,0,0
conductivity,conducibilità,1,0,0,0,0,0,0,0,0,0
conductor,conduttore,0,0,0,0,0,0,0,0,0,0
pipeline,conduttura,0,0,0,0,0,0,0,0,0,0
conduction,conduzione,0,0,0,0,0,0,0,0,0,0
constable,conestabile,0,0,0,0,0,0,0,0,0,1
confederate,confederato,1,0,0,0,0,0,0,0,0,1
confederation,confederazione,0,0,0,0,0,0,0,0,0,0
conference,conferenza,0,0,0,0,0,0,0,0,0,0
lecture,conferenza,0,0,0,0,0,0,0,0,0,0
bestow,conferire,0,0,0,0,0,0,0,0,0,0
confer,conferire,0,0,0,0,0,0,0,0,0,0
confirmation,conferma,0,0,0,0,0,0,0,0,0,1
confirmatory,conferma,0,0,0,0,0,0,0,0,0,0
confirm,confermare,0,0,0,0,0,0,0,0,0,0
confirmed,confermato,1,0,0,0,0,0,0,0,0,1
confess,confessare,1,1,0,0,0,0,0,0,0,1
confessional,confessionale,0,0,0,0,0,1,0,0,0,1
denominational,confessionale,0,0,0,0,0,0,0,0,0,0
confession,confessione,0,1,0,1,0,1,0,1,1,0
confessions,confessioni,0,0,0,0,0,0,0,0,0,0
wrapping,confezione,0,0,0,0,0,0,0,0,0,0
confide,confidare,0,0,0,0,0,0,0,0,0,1
confidential,confidenziale,0,0,0,0,0,0,0,0,0,1
confidentially,confidenzialmente,0,0,0,0,0,0,0,0,0,1
configuration,configurazione,0,0,0,0,0,0,0,0,0,0
confinement,confinamento,0,1,1,0,0,1,0,1,0,0
bordering,confinante,0,0,0,0,0,0,0,0,0,0
confine,confinare,0,1,1,0,0,1,0,1,0,0
border,confine,0,0,0,0,0,0,0,0,0,0
boundary,confine,0,0,0,0,0,0,0,0,0,0
confines,confine,0,0,0,0,0,0,0,0,0,0
confiscation,confisca,0,1,0,0,0,0,0,0,0,0
confiscate,confiscare,0,1,1,0,0,0,0,1,0,0
conflagration,conflagrazione,0,1,1,0,0,1,0,0,0,0
conflict,conflitto,0,1,1,0,0,1,0,1,0,0
conflicting,conflitto,0,1,0,0,0,0,0,0,0,0
strife,conflitto,0,1,1,0,0,0,0,0,0,0
confluence,confluenza,0,0,0,0,0,0,0,0,0,0
confound,confondere,0,1,0,0,0,0,0,0,0,0
confuse,confondere,0,1,0,0,0,0,0,0,0,0
conformation,conformazione,0,0,0,0,0,0,0,0,0,0
compliant,conforme,1,0,0,0,0,0,0,0,0,0
complying,conforme,0,0,0,0,0,0,0,0,0,0
accordance,conformità,0,0,0,0,0,0,0,0,0,0
compliance,conformità,1,0,0,0,0,0,0,0,0,1
conformance,conformità,1,0,0,0,0,0,0,0,0,0
conformity,conformità,0,0,0,0,0,0,0,0,0,1
solace,conforto,1,0,0,0,0,0,0,0,0,0
brethren,confratelli,0,0,0,0,0,0,0,0,0,0
collate,confrontare,0,0,0,0,0,0,0,0,0,0
collation,confronto,0,0,0,0,0,0,0,0,0,0
comparison,confronto,0,0,0,0,0,0,0,0,0,0
confusion,confusione,0,1,1,0,0,1,0,0,0,0
fuss,confusione,0,1,1,0,0,0,0,1,0,0
muddle,confusione,0,1,0,0,0,0,0,0,0,0
confounded,confuso,0,1,0,0,0,0,0,0,0,0
jumbled,confuso,0,0,0,0,0,0,0,0,0,0
disprove,confutare,0,0,0,0,0,0,0,0,0,0
refute,confutare,0,0,0,0,0,0,0,0,0,0
refutation,confutazione,0,0,0,0,0,1,0,0,0,0
furlough,congedo,0,0,0,0,0,0,0,0,0,0
freezing,congelamento,0,1,0,0,0,0,0,0,0,0
frostbite,congelamento,0,1,0,0,0,0,0,0,0,0
freeze,congelare,0,0,0,0,0,0,0,0,0,0
frozen,congelato,0,0,0,0,0,0,0,0,0,0
freezer,congelatore,0,0,0,0,0,0,0,0,0,0
congenial,congeniale,1,0,0,0,0,0,0,0,0,0
congenital,congenito,0,0,0,0,0,0,0,0,0,0
congestion,congestione,0,1,0,0,0,0,0,0,0,0
conjecture,congettura,0,0,0,1,0,0,0,0,0,0
surmise,congetturare,1,0,0,0,0,0,0,0,0,0
guesswork,congetture,0,0,0,0,0,0,0,0,0,0
conjunctive,congiuntivo,0,0,0,0,0,0,0,0,0,0
joined,congiunto,1,0,0,0,0,0,0,0,0,0
conjunction,congiunzione,0,0,0,0,0,0,0,0,0,0
conglomerate,conglomerato,0,0,0,0,0,0,0,0,0,1
conglomeration,conglomerazione,0,0,0,0,0,0,0,0,0,0
congratulatory,congratulazioni,1,0,0,0,0,0,1,0,0,0
congregate,congregarsi,0,0,0,0,0,0,0,0,0,0
congregation,congregazione,1,0,0,0,0,0,0,0,0,1
congressman,congressman,0,0,0,0,0,0,0,0,0,1
congress,congresso,0,0,0,0,1,0,0,0,0,1
congressional,Congresso,0,0,0,0,0,0,0,0,0,0
congruence,congruenza,1,0,0,0,0,0,0,0,0,1
conic,conico,0,0,0,0,0,0,0,0,0,0
conical,conico,0,0,0,0,0,0,0,0,0,0
warren,conigliera,0,0,0,0,0,0,0,0,0,0
rabbit,coniglio,0,0,0,0,0,0,0,0,0,0
coinage,conio,0,0,0,0,0,0,0,0,0,0
conjugal,coniugale,0,0,0,0,0,0,0,0,0,0
conjugate,coniugare,0,0,0,0,0,0,0,0,0,0
conjugation,coniugazione,0,0,0,0,0,0,0,0,0,0
spouse,coniuge,1,0,0,0,0,0,1,0,0,1
connective,connettivo,0,0,0,0,0,0,0,0,0,1
cone,cono,0,0,0,0,0,0,0,0,0,0
acquaintance,conoscente,0,0,0,0,0,0,0,0,0,0
acquainted,conoscenza,0,0,0,0,0,0,0,0,0,0
knowledge,conoscenza,1,0,0,0,0,0,0,0,0,0
cognitive,conoscitivo,1,0,0,0,0,0,0,0,0,0
conquest,conquista,0,1,1,0,0,1,0,0,0,0
conquer,conquistare,0,0,0,0,0,0,0,0,0,0
conqueror,conquistatore,0,0,0,0,0,0,0,0,0,0
consecration,consacrazione,1,0,0,1,0,0,1,1,0,1
mindfulness,consapevolezza,1,0,0,0,0,0,0,0,0,0
knowingly,consapevolmente,0,0,0,0,0,0,0,0,0,0
consecutive,consecutivo,0,0,0,0,0,0,0,0,0,0
consignment,consegna,0,0,0,0,0,0,0,0,0,0
delivery,consegna,1,0,0,1,0,0,0,0,0,0
consequent,conseguente,0,0,0,1,0,0,0,0,0,0
consequence,conseguenza,0,0,0,0,0,0,0,0,0,0
aftermath,conseguenze,0,1,1,0,1,1,0,1,0,0
consent,consenso,0,0,0,0,0,0,0,0,0,0
concurring,consentendo,0,0,0,0,0,0,0,0,0,0
permitted,consentita,0,0,0,0,0,0,0,0,0,0
consenting,consenziente,0,0,0,0,0,0,0,0,0,0
preservative,conservante,1,0,0,1,0,0,1,0,1,1
conserve,conservare,1,0,0,0,0,0,0,0,0,0
retain,conservare,0,0,0,0,0,0,0,0,0,1
preserved,conservato,0,0,0,0,0,0,0,0,0,0
conservatory,conservatorio,0,0,0,0,0,0,0,0,0,0
conservatism,conservatorismo,0,0,0,0,0,0,0,0,0,0
conservation,conservazione,1,0,0,1,0,0,0,0,0,1
preservation,conservazione,0,0,0,0,0,0,0,0,0,0
canning,conserviera,0,0,0,0,0,0,0,0,0,0
advice,consigli,0,0,0,0,0,0,0,0,0,1
advisable,consigliabile,1,0,0,0,0,0,0,0,0,1
advise,consigliare,1,0,0,0,0,0,0,0,0,1
advised,consigliato,0,0,0,0,0,0,0,0,0,1
adviser,consigliere,1,0,0,0,0,0,0,0,0,1
counsellor,consigliere,0,1,1,0,0,1,0,0,0,1
counselor,consigliere,1,0,0,0,0,0,0,0,0,1
council,consiglio,1,0,0,1,0,0,0,0,0,1
counsel,consiglio,1,0,0,0,0,0,0,0,0,1
comforter,consolatore,0,0,0,0,0,0,0,0,0,0
consolation,consolazione,0,0,0,0,0,0,0,0,0,0
consul,console,0,0,0,0,0,0,0,0,0,1
consolidation,consolidamento,0,0,0,0,0,0,0,0,0,0
solidification,consolidamento,0,0,0,0,0,0,0,0,0,0
consolidate,consolidare,0,0,0,0,0,0,0,0,0,0
console,consolle,1,0,0,0,0,0,0,1,0,0
consonant,consonante,1,0,0,0,0,0,0,0,0,0
consort,consorte,0,0,0,0,0,0,0,0,0,1
customary,consueto,0,0,0,0,0,0,0,0,0,0
consult,consultare,0,0,0,0,0,0,0,0,0,1
consultation,consultazione,0,0,0,0,0,0,0,0,0,0
consume,consumare,0,0,0,0,0,0,0,0,0,0
consuming,consumare,0,0,0,0,0,0,0,0,0,0
consummate,consumato,1,0,0,0,0,0,0,0,0,0
consummation,consumazione,0,0,0,0,0,0,0,0,0,0
consumption,consumo,0,0,0,0,0,0,0,0,0,0
counts,conta,0,0,0,0,0,0,0,0,0,0
bookkeeper,contabile,0,0,0,0,0,0,0,0,0,0
accounting,contabilità,0,0,0,0,0,0,0,0,0,0
bookkeeping,contabilità,0,0,0,0,0,0,0,0,0,0
farmer,contadino,0,0,0,0,0,0,0,0,0,0
peasant,contadino,0,0,0,0,0,0,0,0,0,0
kern,contadino irlandese,0,1,0,0,0,0,0,0,0,0
contagion,contagio,0,1,0,1,1,1,0,0,0,0
contagious,contagioso,0,1,0,0,1,1,0,0,0,0
infectious,contagioso,0,1,0,0,1,1,0,1,0,0
contaminate,contaminare,0,1,0,0,1,0,0,0,0,0
contaminated,contaminati,0,1,0,0,1,1,0,1,0,0
contamination,contaminazione,0,1,0,0,1,0,0,0,0,0
cash,contanti,1,0,1,1,0,1,1,0,0,1
count,contare,1,0,0,0,0,0,0,0,0,1
counter,contatore,0,0,0,0,0,0,0,0,0,0
contact,contatto,1,0,0,0,0,0,0,0,0,0
earl,conte,1,0,0,0,0,0,0,0,0,0
county,contea,0,0,0,0,0,0,0,0,0,1
shire,contea,0,0,0,0,0,0,0,0,0,0
tallies,conteggi,0,0,0,0,0,0,0,0,0,0
tally,conteggio,0,0,0,0,0,0,0,0,0,0
contemplate,contemplare,0,0,0,0,0,0,0,0,0,0
contemplative,contemplativo,0,0,0,0,0,0,0,0,0,0
contemplation,contemplazione,1,0,0,0,0,0,0,0,0,0
simultaneously,contemporaneamente,0,0,0,0,0,0,0,0,0,0
contemporaneous,contemporaneo,0,0,0,0,0,0,0,0,0,0
contemporary,contemporaneo,0,0,0,0,0,0,0,0,0,0
litigant,contendente,0,1,0,0,0,0,0,0,0,0
contending,contendenti,0,0,0,0,0,0,0,0,0,0
containment,contenimento,0,0,0,0,0,0,0,0,0,0
gladness,contentezza,1,0,0,0,0,0,1,0,0,0
delighted,Contentissimo,1,0,0,1,0,0,1,0,1,0
pleased,contento,1,0,0,0,0,0,1,0,0,0
content,contenuto,1,0,0,0,0,0,1,0,0,1
contents,contenuto,0,0,0,0,0,0,0,0,0,0
restrained,contenuto,0,0,0,0,0,1,0,0,0,0
contentious,contenzioso,0,1,1,0,1,1,0,0,0,0
contention,contesa,0,0,0,0,0,0,0,0,0,0
countess,contessa,1,0,0,0,0,0,0,0,0,0
context,contesto,0,0,0,0,0,0,0,0,0,0
accounts,conti,0,0,0,0,0,0,0,0,0,1
contiguous,contiguo,0,0,0,0,0,0,0,0,0,0
continental,continentale,0,0,0,0,0,0,0,0,0,0
continent,continente,0,0,0,0,0,0,0,0,0,0
continence,continenza,0,0,0,0,0,0,0,0,0,0
contingent,contingente,0,0,0,1,0,0,0,0,0,0
contingency,contingenza,0,0,0,0,0,0,0,0,0,0
continued,continua,0,0,0,0,0,0,0,0,0,0
continuing,continua,0,0,0,0,0,0,0,0,0,0
continually,continuamente,0,0,0,0,0,0,0,0,0,0
continuously,continuamente,0,0,0,0,0,0,0,0,0,0
continue,continuare,1,0,0,1,0,0,0,0,0,1
continuance,continuazione,0,0,0,0,0,0,0,0,0,0
continuation,continuazione,0,0,0,1,0,0,0,0,0,0
continuity,continuità,0,0,0,0,0,0,0,0,0,0
continual,continuo,0,0,0,0,0,0,0,0,0,0
continuous,continuo,0,0,0,0,0,0,0,0,0,0
account,conto,0,0,0,0,0,0,0,0,0,1
countdown,conto alla rovescia,0,0,0,1,0,0,0,0,0,0
squirm,contorcersi,0,1,0,0,1,0,0,0,0,0
contour,contorno,1,0,0,0,0,0,0,0,0,0
outline,contorno,0,0,0,0,0,0,0,0,0,0
twisted,contorto,0,0,0,0,0,0,0,0,0,0
smuggle,contrabbandare,0,1,0,0,0,1,0,0,0,0
smuggler,contrabbandiere,0,1,1,0,1,1,0,0,0,0
contraband,contrabbando,0,1,1,0,1,1,0,0,0,0
smuggling,contrabbando,0,1,0,0,0,0,0,0,0,0
contradict,contraddire,0,1,1,0,0,0,0,0,0,0
contradictory,contraddittorio,0,1,0,0,0,0,0,0,0,0
contradiction,contraddizione,0,1,0,0,0,0,0,0,0,0
forgery,contraffazione,0,1,0,0,0,0,0,0,0,0
buttress,contrafforte,0,0,0,0,0,0,0,0,0,0
alto,contralto,0,0,0,0,0,0,0,0,0,0
counterbalance,contrappeso,0,0,0,0,0,0,0,0,0,0
contrary,contrario,0,1,0,0,0,0,0,0,0,0
opposed,contrario,0,1,1,0,0,1,0,0,0,0
counteract,contrastare,0,0,0,0,0,0,0,0,0,0
thwart,contrastare,0,1,0,0,0,0,0,0,1,0
contrasted,contrastato,0,1,0,0,0,0,0,0,0,0
contrast,contrasto,0,0,0,0,0,0,0,0,0,0
setback,contrattempo,0,1,0,0,0,0,0,1,0,0
contractile,contrattile,0,0,0,0,0,0,0,0,0,0
contract,contratto,0,0,0,0,0,0,0,0,0,0
contracted,contratto,0,1,0,0,0,0,0,0,0,0
contravene,contravvenire,0,1,0,0,0,0,0,0,0,0
contravention,contravvenzione,0,1,0,0,0,0,0,0,0,0
contraction,contrazione,0,0,0,0,0,0,0,0,0,0
shrinking,contrazione,0,0,0,0,0,0,0,0,0,0
twitch,contrazione,0,1,0,0,0,0,0,0,0,0
contribute,contribuire,1,0,0,0,0,0,0,0,0,0
con,contro,0,0,0,0,0,0,0,0,0,0
versus,contro,0,1,1,0,0,0,0,0,0,0
control,controllo,0,0,0,0,0,0,0,0,0,0
comptroller,controllore,0,0,0,0,0,0,0,0,0,1
counterpart,controparte,0,0,0,0,0,0,0,0,0,0
counterclaim,controquerela,0,0,0,0,0,0,0,0,0,0
controversial,controverso,0,1,1,0,0,0,0,0,0,0
unwillingly,controvoglia,0,0,0,0,0,0,0,0,0,0
bruise,contusione,0,1,0,1,0,0,0,0,0,0
convalescent,convalescente,0,0,0,0,0,0,0,0,0,0
substantiate,convalidare,0,0,0,0,0,0,0,0,0,1
convenient,conveniente,1,0,0,0,0,0,0,0,0,0
convenience,convenienza,1,0,0,0,0,0,0,0,0,0
convent,convento,1,0,0,0,0,0,0,0,0,1
respondent,convenuto,0,0,0,0,0,0,0,0,0,0
conventional,convenzionale,0,0,0,0,0,0,0,0,0,0
convention,convenzione,1,0,0,0,0,0,0,0,0,0
convergent,convergente,0,0,0,0,0,0,0,0,0,0
convergence,convergenza,0,0,0,1,0,0,0,0,0,0
converge,convergere,0,0,0,0,0,0,0,0,0,0
conversing,conversando,0,0,0,0,0,0,0,0,0,0
converse,conversare,0,0,0,0,0,0,0,0,0,0
conversation,conversazione,0,0,0,0,0,0,0,0,0,0
conversion,conversione,0,0,0,0,0,0,0,0,0,0
convertible,convertibile,0,0,0,0,0,0,0,0,0,0
convert,convertire,1,0,0,0,0,0,0,0,0,0
converted,convertito,0,0,0,0,0,0,0,0,0,0
convexity,convessità,0,0,0,0,0,0,0,0,0,0
convex,convesso,0,0,0,0,0,0,0,0,0,0
conveyancing,conveyancing,0,0,0,0,0,0,0,0,0,1
convection,convezione,0,0,0,0,0,0,0,0,0,0
cogent,convincente,1,0,0,0,0,0,0,0,0,1
convincing,convincente,0,0,0,0,0,0,0,0,0,1
persuasive,convincente,0,0,0,0,0,0,0,0,0,0
convince,convincere,1,0,0,1,0,0,0,0,0,1
convinced,convinto,0,0,0,0,0,0,0,0,0,1
staunch,convinto,1,0,0,0,0,0,0,0,0,0
conviction,convinzione,0,1,0,0,0,0,0,0,0,0
cohabitation,convivenza,0,0,0,0,0,0,0,0,0,0
convene,convocare,0,0,0,0,0,0,0,0,0,0
summon,convocare,0,0,0,0,0,0,0,0,0,0
convocation,convocazione,0,0,0,0,0,0,0,0,0,0
summons,convocazione,0,1,0,0,0,0,0,0,0,0
convoy,convoglio,0,0,0,0,0,0,0,0,0,0
cooperating,cooperando,1,0,0,0,0,0,0,0,0,1
cooperative,cooperativa,1,0,0,0,0,0,0,0,0,1
cooperation,cooperazione,1,0,0,0,0,0,0,0,0,1
coordinate,coordinare,0,0,0,0,0,0,0,0,0,0
cohort,coorte,0,0,0,0,0,0,0,0,0,0
lid,coperchio,0,0,0,0,0,0,0,0,0,0
blanket,coperta,0,0,0,0,0,0,0,0,0,1
cover,copertina,0,0,0,0,0,0,0,0,0,1
covered,coperto,0,0,0,0,0,0,0,0,0,0
spiny,coperto di spine,0,0,0,0,0,0,0,0,0,0
steamy,coperto di vapore,0,0,0,0,0,0,0,0,0,0
overgrown,coperto di vegetazione,0,1,0,0,0,0,0,0,0,0
covering,copertura,0,0,0,0,0,0,0,0,0,0
overlay,copertura,0,0,0,0,0,0,0,0,0,0
copy,copia,0,1,0,0,0,0,0,0,0,0
copying,copiatura,0,0,0,0,0,0,0,0,0,0
copycat,copione,0,1,1,0,1,0,0,0,0,0
script,copione,1,0,0,0,0,0,0,0,0,0
copious,copioso,0,0,0,0,0,0,0,0,0,0
beaker,coppa,0,0,0,0,0,0,0,0,0,0
cup,coppa,0,0,0,0,0,0,0,0,0,0
cupping,coppettazione,0,1,0,0,1,1,0,1,0,0
couple,coppia,0,0,0,0,0,0,0,0,0,0
pair,coppia,0,0,0,0,0,0,0,0,0,0
headdress,copricapo,0,0,0,0,0,0,0,0,0,0
headgear,copricapo,0,0,0,0,0,0,0,0,0,0
curfew,coprifuoco,0,0,0,0,0,0,0,0,0,0
bravery,coraggio,1,0,0,0,0,0,0,0,0,0
courage,coraggio,1,0,0,0,0,0,0,0,0,0
guts,coraggio,1,0,0,0,0,0,0,0,0,0
mettle,coraggio,1,0,0,0,0,0,0,0,0,0
nerve,coraggio,1,0,0,0,0,0,0,0,0,0
pluck,coraggio,0,0,0,0,0,0,0,0,0,0
courageous,coraggioso,1,0,0,0,0,1,0,0,0,0
stalwart,coraggioso,1,0,0,0,0,0,0,0,0,0
choral,corale,1,0,0,0,0,0,1,0,0,0
coral,corallo,0,0,0,0,0,0,0,0,0,0
armored,corazzato,0,0,0,0,0,1,0,0,0,0
rope,corda,0,0,0,0,0,0,0,0,0,0
string,corda,0,0,0,0,0,0,0,0,0,0
genial,cordiale,1,0,0,0,0,0,1,0,0,0
friendliness,cordialità,1,0,0,0,0,0,1,0,0,1
gimp,cordoncino,0,0,0,0,0,0,0,0,0,0
cord,cordone,0,0,0,0,0,0,0,0,0,0
cordon,cordone,0,0,0,0,0,0,0,0,0,0
bagpipes,cornamuse,0,0,0,0,0,0,0,0,0,0
cornea,cornea,0,0,0,0,0,0,0,0,0,0
horny,corneo,0,0,0,0,0,0,0,0,0,0
cornet,cornetta,0,0,0,0,0,0,0,0,0,0
cornice,cornice,0,0,0,0,0,0,0,0,0,0
ledge,cornice,0,0,0,0,0,0,0,0,0,0
horn,corno,0,0,0,0,0,0,0,0,0,0
choir,coro,1,0,0,0,0,0,1,0,0,1
chorus,coro,1,0,0,0,0,0,0,0,0,0
corollary,corollario,0,0,0,0,0,0,0,0,0,0
corona,corona,0,0,0,0,0,0,0,0,0,0
crown,corona,0,0,0,0,0,0,0,0,0,0
wreath,corona,0,0,0,0,0,0,0,0,0,0
crowning,coronamento,1,0,0,1,0,0,1,0,1,1
coroner,coroner,0,1,0,0,0,0,0,0,0,0
bodice,corpetto,0,0,0,0,0,0,0,0,0,0
body,corpo,0,0,0,0,0,0,0,0,0,0
corps,corpo,0,0,0,0,0,0,0,0,0,0
corpus,corpo,0,0,0,0,0,0,0,0,0,0
corporeal,corporeo,1,0,0,0,0,0,0,0,0,0
burly,corpulento,0,0,0,0,0,0,0,0,0,0
stout,corpulento,0,0,0,0,0,0,0,0,0,0
correlative,correlativo,0,0,0,0,0,0,0,0,0,0
correlation,correlazione,0,0,0,0,0,0,0,0,0,0
current,corrente,0,0,0,0,0,0,0,0,0,0
correctness,correttezza,0,0,0,0,0,0,0,0,0,1
propriety,correttezza,0,0,0,0,0,0,0,0,0,0
corrective,correttivo,1,0,0,0,0,0,0,0,0,0
remedial,correttivo,0,1,0,0,0,0,0,0,0,0
proper,corretto,1,0,0,0,0,0,0,0,0,0
correction,correzione,0,1,0,0,0,0,0,0,0,0
aisle,corridoio,0,0,0,0,0,0,0,0,0,0
corridor,corridoio,0,0,0,0,0,0,0,0,0,0
racer,corridore,0,0,0,0,0,0,0,0,0,0
runner,corridore,0,0,0,0,0,0,0,0,0,0
courier,corriere,0,0,0,0,0,0,0,0,0,1
correspondent,corrispondente,0,0,0,0,0,0,0,0,0,0
correspondence,corrispondenza,1,0,0,1,0,0,0,0,0,0
correspond,corrispondere,0,0,0,0,0,0,0,0,0,0
corroborate,corroborare,1,0,0,0,0,0,0,0,0,1
corroboration,corroborazione,0,0,0,0,0,0,0,0,0,1
corrosion,corrosione,0,1,0,0,0,0,0,0,0,0
corrosive,corrosivo,0,1,0,0,0,1,0,0,0,0
corrupt,corrotto,0,1,0,0,0,0,0,0,0,0
corrupting,corruttore,0,1,1,0,1,1,0,1,0,0
bribery,corruzione,0,1,0,0,1,0,0,0,0,0
corruption,corruzione,0,1,0,0,1,0,0,0,0,0
running,corsa,0,0,0,0,0,0,0,0,0,0
rush,corsa,0,0,0,0,0,0,0,0,0,0
scramble,corsa,0,0,0,0,0,0,0,0,0,0
stroke,corsa,0,1,0,0,0,1,0,1,0,0
corse,corse,0,0,0,0,0,0,0,1,0,0
corset,corsetto,0,0,0,0,0,0,0,0,0,0
courses,Corsi,0,0,0,0,0,0,0,0,0,0
court,corte,0,0,1,1,0,1,0,0,0,0
bark,corteccia,0,1,1,0,0,0,0,0,0,0
cortex,corteccia,0,0,0,0,0,0,0,0,0,0
courtship,corteggiamento,1,0,0,1,0,0,1,0,0,1
wooing,corteggiamento,0,0,0,0,0,0,0,0,0,0
woo,corteggiare,0,0,0,0,0,0,0,0,0,0
suitor,corteggiatore,0,0,0,0,0,0,0,0,0,0
courteous,cortese,1,0,0,0,0,0,0,0,0,0
obliging,cortese,1,0,1,1,1,1,1,0,1,1
courtesy,cortesia,1,0,0,0,0,0,0,0,0,0
shorts,corti,0,0,0,0,0,0,0,0,0,0
cortical,corticale,0,0,0,0,0,0,0,0,0,0
courtyard,cortile,0,0,0,0,0,0,0,0,0,0
corvette,corvetta,0,0,0,0,0,0,0,0,0,0
crow,corvo,0,0,0,0,0,0,0,0,0,0
raven,Corvo,0,0,0,0,0,0,0,0,0,0
thing,cosa,0,0,0,0,0,0,0,0,0,0
conscience,coscienza,1,0,0,0,0,0,0,0,0,1
consciousness,coscienza,1,0,0,0,0,0,0,0,0,0
conscientious,coscienzioso,1,0,0,0,0,0,0,0,0,1
conscription,coscrizione,0,0,0,0,0,0,0,0,0,0
stuff,cose,0,0,0,0,0,0,0,0,0,0
things,cose,0,0,0,0,0,0,0,0,0,0
cosmetics,cosmetici,0,0,0,0,0,0,0,0,0,0
cosmetic,cosmetico,0,0,0,0,0,0,0,0,0,0
cosmic,cosmico,0,0,0,0,0,0,0,0,0,0
cosmos,cosmo,0,0,0,0,0,0,0,0,0,0
cosmology,cosmologia,0,0,0,0,0,0,0,0,0,0
cosmopolitan,cosmopolita,1,0,0,0,0,0,0,0,0,1
conspicuous,cospicuo,0,0,0,0,0,0,0,0,0,0
conspire,cospirare,0,1,0,0,0,1,0,0,0,0
conspirator,cospiratore,0,1,1,1,1,1,0,0,0,0
conspiracy,cospirazione,0,0,0,0,0,1,0,0,0,0
coast,costa,1,0,0,0,0,0,0,0,0,0
seaboard,costa,0,0,0,0,0,0,0,0,0,0
constant,costante,1,0,0,0,0,0,0,0,0,1
steadfast,costante,1,0,0,0,0,0,0,0,0,1
constantly,costantemente,0,0,0,0,0,0,0,0,0,1
constancy,costanza,1,0,0,0,0,0,0,0,0,1
constellation,costellazione,0,0,0,0,0,0,0,0,0,0
coastal,costiero,0,0,0,0,0,0,0,0,0,0
ribbed,costine,0,0,0,0,0,0,0,0,0,0
constipation,costipazione,0,1,0,0,1,0,0,0,0,0
constituent,costituente,0,0,0,0,0,0,0,0,0,0
constituents,costituenti,0,0,0,0,0,0,0,0,0,0
constitute,costituire,0,0,0,0,0,0,0,0,0,1
constitutional,costituzionale,1,0,0,0,0,0,0,0,0,1
constitutionality,costituzionalità,0,0,0,0,0,0,0,0,0,0
constitution,costituzione,0,0,0,0,0,0,0,0,0,0
physique,costituzione,1,0,0,0,0,0,0,0,0,0
cost,costo,0,0,0,0,0,0,0,0,0,0
rib,costola,0,0,0,0,0,0,0,0,0,0
costly,costoso,0,0,0,0,0,0,0,0,0,0
expensive,costoso,0,0,0,0,0,0,0,0,0,0
compelled,costretto,0,0,0,0,0,0,0,0,0,0
constrained,costretto,0,1,0,0,0,0,0,0,0,0
coerce,costringere,0,1,1,0,1,1,0,0,0,0
compel,costringere,0,0,0,0,0,0,0,0,0,0
